#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.98e+01    2.02e+01      4.51e-02    2.52e-02      6.26e-01    6.38e-01    1.0e-03
    100      1.93e+01    1.99e+01      1.31e-02    1.17e-02      6.11e-01    6.29e-01    1.0e-03
    200      1.50e+01    1.60e+01      3.53e-02    4.94e-02      4.74e-01    5.06e-01    1.0e-03
    300      1.35e+01    1.24e+01      4.46e-01    4.40e-01      4.27e-01    3.93e-01    1.0e-03
    400      1.21e+01    1.28e+01      2.28e-01    2.27e-01      3.82e-01    4.05e-01    1.0e-03
    500      1.04e+01    1.07e+01      2.20e-02    1.96e-02      3.28e-01    3.39e-01    1.0e-03
    600      1.24e+01    1.12e+01      1.36e-01    1.43e-01      3.92e-01    3.54e-01    1.0e-03
    700      1.02e+01    9.09e+00      2.45e-02    1.91e-02      3.22e-01    2.87e-01    1.0e-03
    800      1.01e+01    8.10e+00      6.59e-02    6.75e-02      3.18e-01    2.56e-01    1.0e-03
    900      1.08e+01    9.71e+00      6.23e-02    7.20e-02      3.42e-01    3.07e-01    1.0e-03
   1000      9.88e+00    9.46e+00      7.06e-03    7.71e-03      3.12e-01    2.99e-01    1.0e-03
   1100      8.21e+00    8.75e+00      4.66e-02    4.66e-02      2.60e-01    2.77e-01    1.0e-03
   1200      8.00e+00    8.70e+00      1.86e-02    1.86e-02      2.53e-01    2.75e-01    1.0e-03
   1300      8.26e+00    7.30e+00      9.05e-02    9.54e-02      2.61e-01    2.31e-01    1.0e-03
   1400      8.78e+00    7.90e+00      4.15e-03    8.02e-03      2.78e-01    2.50e-01    1.0e-03
   1500      8.64e+00    7.25e+00      1.23e-01    1.19e-01      2.73e-01    2.29e-01    1.0e-03
   1600      7.41e+00    7.26e+00      1.32e-02    1.36e-02      2.34e-01    2.30e-01    1.0e-03
   1700      7.56e+00    7.55e+00      1.80e-02    1.65e-02      2.39e-01    2.39e-01    1.0e-03
   1800      7.38e+00    6.39e+00      3.95e-02    3.50e-02      2.33e-01    2.02e-01    1.0e-03
   1900      7.54e+00    7.44e+00      7.21e-02    7.24e-02      2.38e-01    2.35e-01    1.0e-03
   2000      7.64e+00    7.14e+00      3.48e-02    3.47e-02      2.42e-01    2.26e-01    1.0e-03
   2100      7.15e+00    6.19e+00      6.44e-03    2.35e-03      2.26e-01    1.96e-01    1.0e-03
   2200      7.14e+00    7.37e+00      1.01e-02    1.22e-02      2.26e-01    2.33e-01    1.0e-03
   2300      7.47e+00    7.12e+00      5.70e-02    4.86e-02      2.36e-01    2.25e-01    1.0e-03
   2400      6.62e+00    7.08e+00      4.41e-02    4.76e-02      2.09e-01    2.24e-01    1.0e-03
   2500      6.61e+00    5.51e+00      5.57e-02    6.21e-02      2.09e-01    1.74e-01    1.0e-03
   2600      6.16e+00    5.41e+00      5.78e-02    5.46e-02      1.95e-01    1.71e-01    1.0e-03
